module,descriptor,model,split,top_share,top_k,spearman_rank_correlation,top_k_overlap_with_true_top,normalized_screening_regret,false_reassurance_share
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,random,0.10,33,0.972207,0.818182,0.091956,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,grouped,0.10,33,0.856451,0.757576,0.093479,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,random,0.20,65,0.972207,0.907692,0.025295,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,grouped,0.20,65,0.856451,0.723077,0.218404,0.153846
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,random,0.30,98,0.972207,0.959184,0.005517,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,grouped,0.30,98,0.856451,0.785714,0.112499,0.102041
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,random,0.10,50,0.929434,0.720000,0.182458,0.020000
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,grouped,0.10,50,0.899777,0.700000,0.182312,0.020000
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,random,0.20,100,0.929434,0.780000,0.096613,0.010000
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,grouped,0.20,100,0.899777,0.740000,0.128613,0.030000
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,random,0.30,150,0.929434,0.840000,0.057243,0.020000
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,grouped,0.30,150,0.899777,0.780000,0.103782,0.086667
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,random,0.10,50,0.964617,0.720000,0.194289,0.000000
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,grouped,0.10,50,0.875760,0.580000,0.520506,0.000000
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,random,0.20,100,0.964617,0.870000,0.068184,0.010000
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,grouped,0.20,100,0.875760,0.790000,0.154575,0.020000
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,random,0.30,150,0.964617,0.900000,0.040787,0.006667
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,grouped,0.30,150,0.875760,0.780000,0.086969,0.046667
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,random,0.10,50,0.968106,0.700000,0.199078,0.000000
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,grouped,0.10,50,0.900137,0.660000,0.223292,0.000000
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,random,0.20,100,0.968106,0.890000,0.078521,0.020000
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,grouped,0.20,100,0.900137,0.760000,0.168573,0.060000
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,random,0.30,150,0.968106,0.893333,0.029590,0.013333
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,grouped,0.30,150,0.900137,0.753333,0.099683,0.100000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,random,0.10,21,0.924147,0.809524,0.103273,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,grouped,0.10,21,0.892620,0.523810,0.429992,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,random,0.20,41,0.924147,0.780488,0.091226,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,grouped,0.20,41,0.892620,0.707317,0.139097,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,random,0.30,61,0.924147,0.852459,0.046890,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,grouped,0.30,61,0.892620,0.786885,0.127524,0.049180
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,random,0.10,21,0.973006,0.904762,0.049108,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,grouped,0.10,21,0.877618,0.523810,0.298412,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,random,0.20,41,0.973006,0.902439,0.012069,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,grouped,0.20,41,0.877618,0.707317,0.133517,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,random,0.30,61,0.973006,0.901639,0.021871,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,grouped,0.30,61,0.877618,0.737705,0.175487,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,random,0.10,21,0.971131,0.857143,0.045740,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,grouped,0.10,21,0.898739,0.619048,0.215232,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,random,0.20,41,0.971131,0.975610,0.001293,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,grouped,0.20,41,0.898739,0.707317,0.135798,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,random,0.30,61,0.971131,0.885246,0.031758,0.000000
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,grouped,0.30,61,0.898739,0.770492,0.140983,0.000000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,random,0.10,10,0.621868,0.700000,0.100293,0.000000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,grouped,0.10,10,0.327516,0.000000,0.765493,0.300000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,random,0.20,20,0.621868,0.550000,0.227330,0.300000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,grouped,0.20,20,0.327516,0.300000,0.428807,0.300000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,random,0.30,30,0.621868,0.666667,0.116637,0.233333
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,grouped,0.30,30,0.327516,0.466667,0.327226,0.266667
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,random,0.10,10,0.756174,0.500000,0.216929,0.200000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,grouped,0.10,10,0.086372,0.000000,0.832206,0.500000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,random,0.20,20,0.756174,0.650000,0.176738,0.250000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,grouped,0.20,20,0.086372,0.200000,0.524196,0.300000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,random,0.30,30,0.756174,0.800000,0.096132,0.166667
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,grouped,0.30,30,0.086372,0.300000,0.463723,0.366667
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,random,0.10,10,0.824986,0.600000,0.079937,0.000000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,grouped,0.10,10,0.060024,0.000000,0.979450,0.600000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,random,0.20,20,0.824986,0.800000,0.065525,0.050000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,grouped,0.20,20,0.060024,0.200000,0.579617,0.350000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,random,0.30,30,0.824986,0.866667,0.055223,0.100000
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,grouped,0.30,30,0.060024,0.333333,0.473431,0.400000
