module,task,metric_kind,proxy_corruption_fraction,replicate,random_score,grouped_score_under_proxy,true_grouped_score,gap_under_proxy,true_gap,gap_retention,proxy_n_groups
Stub-CFST,Stub-CFST section-family holdout,regression,1.0,5,0.8086799948923955,0.7815034840271206,-0.9223101017406514,0.02717651086527495,1.730990096633047,0.015699980559181734,3
Corroded RC beams,Corroded RC beam moment capacity,regression,0.0,1,0.9742138036806559,0.8003943016620045,0.8003943016620045,0.17381950201865137,0.17381950201865137,1.0,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.1,1,0.9742138036806559,0.9059602077917454,0.8003943016620045,0.06825359588891056,0.17381950201865137,0.3926693788455724,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.1,2,0.9742138036806559,0.8726513816561606,0.8003943016620045,0.10156242202449528,0.17381950201865137,0.5842981992526783,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.1,3,0.9742138036806559,0.8926291445548604,0.8003943016620045,0.08158465912579549,0.17381950201865137,0.4693642438179417,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.1,4,0.9742138036806559,0.8671927141945477,0.8003943016620045,0.10702108948610822,0.17381950201865137,0.6157024283421576,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.1,5,0.9742138036806559,0.9028134444955261,0.8003943016620045,0.07140035918512977,0.17381950201865137,0.4107730050766587,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.25,1,0.9742138036806559,0.9518090280863267,0.8003943016620045,0.022404775594329185,0.17381950201865137,0.12889678853138747,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.25,2,0.9742138036806559,0.9424529532000425,0.8003943016620045,0.03176085048061339,0.17381950201865137,0.18272317036787594,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.25,3,0.9742138036806559,0.9425817228089189,0.8003943016620045,0.03163208087173697,0.17381950201865137,0.1819823466548808,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.25,4,0.9742138036806559,0.9421482209722978,0.8003943016620045,0.03206558270835813,0.17381950201865137,0.18447632363437214,54
